block_id,Company_Profile,Industry_Sector,Annual_TEU,Cost_per_TEU,Distance_CH,Mode_Decider,Existing_Mode,Secondary_Modes,Reasons_Current,Use_Intermodal_12m,Intermodal_Frequency,NonUser_Reasons,StopUsing_Reasons,User_Reasons,Factor_Cost,Factor_Time,Factor_Frequency,Factor_Punctuality,Factor_Accessibility,Factor_CO2,Factor_Flexibility,Factor_Security,Factor_Tracking,Factor_Booking,Trust_Intermodal,Cost_Perception,Risk_Damage,Sustainability_Importance,Pay_Premium_CO2,Policy_Encouragement,Govt_Influence,SP_Task1,SP_Task2,SP_Task3,SP_Task4,SP_Task5,SP_Task6,SP_Task7,SP_Task8,SP_Task9_Dominance,SP_Task10_Consistency
1,"Retailer/Wholesaler, Freight Forwarder (3PL/4PL)",Food & Beverage,"500 – 1,000",< 500,> 350 km,"Procurement / Purchasing, Other",Road,"Multimodal, Road","Risk avoidance, Flexibility, Accessibility (terminal/first-last mile), Reliability (on-time)",No,,"Damage/loss, Delays, Cost is too high",,,4,3,5,4,3,4,4,4,4,4,5,3,3,4,5,"Branch-specific intermodal services, Investment in rail infrastructure, Priority access for time-sensitive freight, Subsidies for rail transport",4,Road,Other,Intermodal,Intermodal,Intermodal,Intermodal,Road,Intermodal,Intermodal,Other
2,Retailer/Wholesaler,Food & Beverage,< 100,< 500,100–200 km,Procurement / Purchasing,Road,None,"Transit time / Speed, Sustainability (CO₂), Reliability (on-time)",Yes,Regularly (6+/yr),,,"Improved reliability, Cost savings, Environmental benefits",4,4,4,4,4,3,3,3,3,4,3,3,4,4,5,"Carbon tax on road transport, Investment in rail infrastructure, More flexible rail schedules, Subsidies for rail transport",4,Road,Road,Intermodal,Road,Intermodal,Intermodal,Other,Intermodal,Intermodal,Road
3,Other,Dangerous goods,"500 – 1,000","500 – 1,000",100–200 km,"CEO / Senior Executive, Operations Manager",Road,Road,"Accessibility (terminal/first-last mile), Regulatory compliance",No,,Rail schedules not flexible,,,3,4,5,4,4,3,3,3,3,5,3,4,2,4,4,"Branch-specific intermodal services, Digital freight platforms for easier booking, Investment in rail infrastructure",4,Road,Road,Intermodal,Intermodal,Intermodal,Intermodal,Road,Intermodal,Intermodal,Road
1,Manufacturer,Consumer Goods,"500 – 1,000",< 500,100–200 km,"Operations Manager, Procurement / Purchasing",Road,"Multimodal, Road","Flexibility, Regulatory compliance, Cost efficiency, Sustainability (CO₂)",Yes,Occasionally (1–5/yr),,,Other,4,3,4,4,4,3,4,4,5,5,3,3,2,4,4,"Branch-specific intermodal services, Investment in rail infrastructure, Subsidies for rail transport",1,Road,Road,Intermodal,Intermodal,Intermodal,Intermodal,Other,Intermodal,Intermodal,Road
2,"Freight Forwarder (3PL/4PL), Intermodal Operator (Rail, Terminal)",Consumer Goods,"> 1,000",< 500,< 100 km,"CEO / Senior Executive, Logistics / Supply Chain Manager",Road,None,"Risk avoidance, Cost efficiency, Flexibility, Technological integration (tracking, digital booking)",No,,"Cost is too high, Delays, Damage/loss",,,3,4,4,4,3,4,4,4,5,2,3,3,3,4,4,"Investment in rail infrastructure, More flexible rail schedules, Subsidies for rail transport",4,Road,Road,Intermodal,Intermodal,Intermodal,Intermodal,Road,Intermodal,Intermodal,Road
3,"Manufacturer, Intermodal Operator (Rail, Terminal)",Food & Beverage,"500 – 1,000",< 500,100–200 km,Logistics / Supply Chain Manager,Road,Multimodal,"Risk avoidance, Flexibility, Sustainability (CO₂), Technological integration (tracking, digital booking)",No,,Other,,,4,3,5,4,4,4,4,4,4,4,4,2,3,4,4,"Branch-specific intermodal services, More flexible rail schedules",3,Road,Road,Intermodal,Other,Intermodal,Intermodal,Road,Intermodal,Intermodal,Road
1,"Intermodal Operator (Rail, Terminal)",Other,"500 – 1,000",< 500,200–350 km,"CEO / Senior Executive, Logistics / Supply Chain Manager",Road,None,"Technological integration (tracking, digital booking), Sustainability (CO₂)",Yes,Occasionally (1–5/yr),,,"Appropriate transport time, Improved reliability, Environmental benefits",3,4,4,4,5,5,4,5,4,3,3,2,2,3,3,"Branch-specific intermodal services, More flexible rail schedules, Priority access for time-sensitive freight",2,Road,Road,Intermodal,Road,Intermodal,Intermodal,Road,Intermodal,Intermodal,Road
2,"Manufacturer, Other",Industrial Equipment,100 – 500,< 500,100–200 km,Operations Manager,Road,Multimodal,"Accessibility (terminal/first-last mile), Sustainability (CO₂), Regulatory compliance",Yes,Regularly (6+/yr),,,Customised service,4,5,4,5,4,4,4,3,3,4,3,4,4,4,4,"Carbon tax on road transport, Digital freight platforms for easier booking, Investment in rail infrastructure",2,Road,Road,Intermodal,Road,Intermodal,Intermodal,Road,Intermodal,Intermodal,Road
3,Freight Forwarder (3PL/4PL),Food & Beverage,100 – 500,< 500,< 100 km,Other,Road,None,"Sustainability (CO₂), Regulatory compliance, Cost efficiency, Flexibility",No,,"Complicated booking, Lack of tracking, Damage/loss",,,4,4,3,5,4,4,4,4,5,4,3,2,2,3,2,"Investment in rail infrastructure, Other",3,Road,Intermodal,Intermodal,Intermodal,Intermodal,Intermodal,Road,Intermodal,Intermodal,Intermodal
1,"Manufacturer, Retailer/Wholesaler",Food & Beverage,< 100,"1,000 – 2,000",100–200 km,"Other, Procurement / Purchasing",Other,Multimodal,"Cost efficiency, Accessibility (terminal/first-last mile), Transit time / Speed",No,,"Transit time too long, Delays",,,2,4,3,4,3,4,3,3,4,4,3,4,3,4,4,"More flexible rail schedules, Other",3,Road,Road,Intermodal,Road,Intermodal,Intermodal,Road,Intermodal,Intermodal,Road
2,"Retailer/Wholesaler, Manufacturer",Consumer Goods,"500 – 1,000","500 – 1,000",100–200 km,"Procurement / Purchasing, Other",Road,"Road, Multimodal","Technological integration (tracking, digital booking), Regulatory compliance, Reliability (on-time)",No,,Complicated booking,,,4,3,3,5,4,5,4,4,4,4,4,4,3,4,4,"Digital freight platforms for easier booking, Investment in rail infrastructure",3,Other,Intermodal,Other,Road,Intermodal,Other,Other,Intermodal,Intermodal,Intermodal
3,"Other, Retailer/Wholesaler",Food & Beverage,< 100,"500 – 1,000",200–350 km,CEO / Senior Executive,Road,None,"Risk avoidance, Technological integration (tracking, digital booking), Flexibility",Yes,Occasionally (1–5/yr),,,Cost savings,4,5,3,2,5,5,3,2,4,4,5,3,3,3,3,"Branch-specific intermodal services, More flexible rail schedules",5,Road,Intermodal,Other,Road,Intermodal,Intermodal,Intermodal,Other,Road,Intermodal
1,Other,Food & Beverage,100 – 500,"500 – 1,000",100–200 km,"Logistics / Supply Chain Manager, Operations Manager",Road,Multimodal,"Cost efficiency, Technological integration (tracking, digital booking)",Yes,Regularly (6+/yr),,,"Environmental benefits, Appropriate transport time",4,4,5,5,4,3,4,4,4,3,4,3,3,4,4,"Digital freight platforms for easier booking, More flexible rail schedules",2,Road,Road,Intermodal,Road,Intermodal,Road,Road,Intermodal,Intermodal,Road
2,"Manufacturer, Retailer/Wholesaler",Other,100 – 500,"500 – 1,000",< 100 km,Logistics / Supply Chain Manager,Multimodal,Multimodal,"Transit time / Speed, Cost efficiency, Risk avoidance, Accessibility (terminal/first-last mile)",Yes,Occasionally (1–5/yr),,Inflexible schedules,Customised service,4,4,3,5,4,2,2,4,4,4,4,3,4,3,2,"Carbon tax on road transport, Investment in rail infrastructure, Subsidies for rail transport",3,Road,Road,Intermodal,Road,Intermodal,Intermodal,Road,Intermodal,Intermodal,Road
3,"Retailer/Wholesaler, Manufacturer",Dangerous goods,< 100,"1,000 – 2,000",200–350 km,Procurement / Purchasing,Road,Multimodal,"Technological integration (tracking, digital booking), Flexibility, Risk avoidance",Yes,Always,,,"Environmental benefits, Other, Cost savings",3,4,5,5,4,4,4,5,4,3,4,1,3,1,1,"Branch-specific intermodal services, More flexible rail schedules, Priority access for time-sensitive freight, Subsidies for rail transport",4,Road,Intermodal,Intermodal,Intermodal,Intermodal,Intermodal,Road,Intermodal,Intermodal,Intermodal
1,Other,Industrial Equipment,"500 – 1,000","> 2,000",100–200 km,"Logistics / Supply Chain Manager, Operations Manager",Multimodal,None,"Flexibility, Transit time / Speed, Technological integration (tracking, digital booking), Sustainability (CO₂)",Yes,Regularly (6+/yr),,,"Customised service, Other, Appropriate transport time",4,4,4,5,4,3,5,3,2,3,3,3,3,3,3,"More flexible rail schedules, Other",4,Road,Intermodal,Road,Road,Intermodal,Intermodal,Road,Intermodal,Intermodal,Intermodal
2,"Intermodal Operator (Rail, Terminal), Retailer/Wholesaler",Dangerous goods,"500 – 1,000",< 500,100–200 km,Operations Manager,Road,Road,"Sustainability (CO₂), Risk avoidance",Yes,Occasionally (1–5/yr),,,Other,4,4,3,4,2,3,4,5,5,3,5,3,3,4,4,"Carbon tax on road transport, Other, Priority access for time-sensitive freight",2,Road,Intermodal,Intermodal,Other,Intermodal,Intermodal,Road,Road,Intermodal,Intermodal
3,Freight Forwarder (3PL/4PL),Chemicals,< 100,< 500,< 100 km,Operations Manager,Multimodal,Road,"Transit time / Speed, Reliability (on-time), Cost efficiency, Accessibility (terminal/first-last mile)",No,,"Need last-mile road, Other",,,5,4,5,4,4,4,4,5,2,2,3,3,4,5,4,"Carbon tax on road transport, Subsidies for rail transport",3,Road,Intermodal,Intermodal,Intermodal,Other,Intermodal,Road,Intermodal,Intermodal,Intermodal
1,"Other, Freight Forwarder (3PL/4PL)",Perishable goods,< 100,< 500,200–350 km,"Procurement / Purchasing, Operations Manager",Multimodal,Multimodal,"Technological integration (tracking, digital booking), Cost efficiency, Flexibility, Sustainability (CO₂)",Yes,Regularly (6+/yr),,,"Customised service, Appropriate transport time, Cost savings",4,4,3,4,3,3,5,4,4,3,4,2,1,2,1,"Digital freight platforms for easier booking, Investment in rail infrastructure, Subsidies for rail transport",3,Road,Intermodal,Intermodal,Intermodal,Intermodal,Intermodal,Road,Intermodal,Intermodal,Intermodal
2,Freight Forwarder (3PL/4PL),Consumer Goods,"500 – 1,000","500 – 1,000",200–350 km,Operations Manager,Road,None,"Transit time / Speed, Accessibility (terminal/first-last mile)",Yes,Occasionally (1–5/yr),,,"Environmental benefits, Appropriate transport time, Customised service",4,4,4,5,5,4,4,3,4,3,5,3,3,5,4,"Carbon tax on road transport, Digital freight platforms for easier booking",3,Road,Road,Intermodal,Road,Intermodal,Intermodal,Road,Intermodal,Intermodal,Road
3,"Manufacturer, Intermodal Operator (Rail, Terminal)",Consumer Goods,100 – 500,"500 – 1,000",200–350 km,"Logistics / Supply Chain Manager, Procurement / Purchasing",Road,"Road, Multimodal","Transit time / Speed, Accessibility (terminal/first-last mile), Risk avoidance, Flexibility",Yes,Occasionally (1–5/yr),,,Customised service,4,5,4,5,5,4,3,4,4,3,3,5,3,4,5,"Investment in rail infrastructure, Priority access for time-sensitive freight, Subsidies for rail transport",2,Intermodal,Intermodal,Intermodal,Intermodal,Intermodal,Intermodal,Road,Intermodal,Intermodal,Intermodal
1,Retailer/Wholesaler,Industrial Equipment,100 – 500,< 500,< 100 km,"Other, Procurement / Purchasing",Multimodal,None,"Technological integration (tracking, digital booking), Regulatory compliance, Risk avoidance, Transit time / Speed",No,,"Transit time too long, Delays, Cost is too high",,,4,4,3,5,4,4,4,4,3,5,3,4,4,3,3,"Investment in rail infrastructure, More flexible rail schedules, Other",3,Road,Intermodal,Intermodal,Road,Intermodal,Intermodal,Other,Intermodal,Intermodal,Intermodal
2,"Freight Forwarder (3PL/4PL), Intermodal Operator (Rail, Terminal)",Food & Beverage,100 – 500,"500 – 1,000",200–350 km,"CEO / Senior Executive, Operations Manager",Multimodal,None,"Reliability (on-time), Regulatory compliance, Sustainability (CO₂)",No,,"Complicated booking, Need last-mile road",,,2,4,5,4,2,4,4,5,3,3,5,3,4,4,4,"Branch-specific intermodal services, More flexible rail schedules",4,Road,Road,Intermodal,Intermodal,Intermodal,Intermodal,Road,Intermodal,Intermodal,Road
3,"Intermodal Operator (Rail, Terminal)",Other,"> 1,000","1,000 – 2,000",200–350 km,Operations Manager,Road,"Multimodal, Road","Reliability (on-time), Flexibility, Sustainability (CO₂)",No,,"Transit time too long, Lack of tracking, Cost is too high",,,3,3,5,4,4,4,4,5,4,2,3,3,3,2,2,"Branch-specific intermodal services, Digital freight platforms for easier booking, Priority access for time-sensitive freight",3,Road,Road,Intermodal,Road,Intermodal,Road,Road,Intermodal,Intermodal,Road
